Cargill B.V.,cargill,208,456655,613695,145,0,66,3998,0,1267,3066514,0
Barry Callebaut Services NV,barrycallebaut,67,64228,76035,5,0,4,17,0,1,10126,1595
CEMOI CI,cemoi,125,135702,142236,6,0,2,18,0,11,573,0
Fludor Ghana Limited,fludorghana,3,16056,29437,2,0,1,15,0,0,0,2317
GCB Cocoa Singapore Pte. Ltd.,gcb,31,28811,29781,32,0,8,110,0,76,220097,147579
JB Foods Global Pte. Ltd.,jbcocoa,15,18159,27096,17,0,10,85,0,59,48539,4
Rubberway Pte. Ltd. ,rubberway,72,192715,291256,70,0,38,385,0,114,333375,0
Sucres et Denrees SA,sucdencdi,150,124564,10236,28,0,12,169,0,114,564464,6259
,sucdencocoa,46,90391,166188,356,0,23,626,0,83,221037,80
McCormick Global Ingredients Limited,mccormick,27,29278,32385,2,0,0,0,0,0,0,0
"Norwegian Church Aid, NCA",ncaglobal,4,9693,5541,34,0,0,72,0,4,3885,1
